date,risk_score,alert,true_label
2019-11-22,2.119296e-10,0,0.0
2019-11-23,1.13627004e-10,0,0.0
2019-11-24,9.237348e-12,0,0.0
2019-11-25,2.9512848e-12,0,0.0
2019-11-26,8.573961e-14,0,0.0
2019-11-27,3.8624502e-14,0,0.0
2019-11-28,1.4963445e-14,0,0.0
2019-11-29,2.4106642e-14,0,0.0
2019-11-30,1.482029e-14,0,0.0
2019-12-01,1.4965622e-13,0,0.0
2019-12-02,4.8607884e-13,0,0.0
2019-12-03,1.2069e-11,0,0.0
2019-12-04,2.9146283e-11,0,0.0
2019-12-05,1.1755014e-09,0,0.0
2019-12-06,3.5907377e-09,0,0.0
2019-12-07,4.3246377e-08,0,0.0
2019-12-08,3.6832326e-08,0,0.0
2019-12-09,2.4836874e-07,0,0.0
2019-12-10,1.395893e-07,0,0.0
2019-12-11,6.443127e-08,0,0.0
2019-12-12,5.8202907e-08,0,0.0
2019-12-13,4.6097302e-08,0,0.0
2019-12-14,3.7653654e-09,0,0.0
2019-12-15,5.525734e-10,0,0.0
2019-12-16,2.830398e-10,0,0.0
2019-12-17,1.0449284e-09,0,0.0
2019-12-18,1.0007104e-10,0,0.0
2019-12-19,3.4220505e-11,0,0.0
2019-12-20,2.9868958e-11,0,0.0
2019-12-21,4.063623e-11,0,0.0
2019-12-22,7.368224e-12,0,0.0
2019-12-23,3.94431e-12,0,0.0
2019-12-24,2.0376502e-12,0,0.0
2019-12-25,2.2698315e-12,0,0.0
2019-12-26,3.706545e-12,0,0.0
2019-12-27,1.5807458e-12,0,0.0
2019-12-28,2.8202696e-12,0,0.0
2019-12-29,1.1830413e-12,0,0.0
2019-12-30,2.4480888e-11,0,0.0
2019-12-31,1.0059342e-11,0,0.0
2020-01-01,6.129782e-09,0,0.0
2020-01-02,1.8325846e-09,0,0.0
2020-01-03,1.6705785e-08,0,0.0
2020-01-04,2.0459758e-09,0,0.0
2020-01-05,5.040567e-09,0,0.0
2020-01-06,3.0336156e-10,0,0.0
2020-01-07,5.782578e-09,0,0.0
2020-01-08,1.0706084e-09,0,0.0
2020-01-09,2.6369749e-09,0,0.0
2020-01-10,5.1387067e-10,0,0.0
2020-01-11,3.2866416e-09,0,0.0
2020-01-12,2.581692e-10,0,0.0
2020-01-13,1.6265643e-10,0,0.0
2020-01-14,4.7114583e-11,0,0.0
2020-01-15,1.1710921e-10,0,0.0
2020-01-16,1.277516e-10,0,0.0
2020-01-17,1.0658904e-11,0,0.0
2020-01-18,2.5085444e-11,0,0.0
2020-01-19,6.3972304e-12,0,0.0
2020-01-20,2.1866426e-12,0,0.0
2020-01-21,4.5714534e-14,0,0.0
2020-01-22,1.7989763e-14,0,0.0
2020-01-23,3.5275814e-15,0,0.0
2020-01-24,1.4073831e-15,0,0.0
2020-01-25,2.3791518e-17,0,0.0
2020-01-26,5.8225826e-18,0,0.0
2020-01-27,2.7255045e-18,0,0.0
2020-01-28,2.0457217e-17,0,0.0
2020-01-29,9.271723e-18,0,0.0
2020-01-30,7.760212e-18,0,0.0
2020-01-31,1.2164967e-17,0,0.0
2020-02-01,1.1565248e-16,0,0.0
2020-02-02,7.2345316e-17,0,0.0
